City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
250,Bud,US,73.24,39.447,-86.1758,Ted McQuinn Trust
251,Florencia,IT,71.24,43.7667,11.25,Hotel Nuova Italia
252,Cayenne,GF,82.44,4.9333,-52.3333,Hôtel Le Dronmi
254,Biak,ID,82.02,-0.9131,122.8766,Penginapan Kim
255,Sechura,PE,65.48,-5.5569,-80.8222,Hospedaje Costa Bella
256,Bonnyville,CA,42.6,54.2668,-110.735,Best Western Bonnyville Inn & Suites
257,Marawi,PH,72.84,7.9986,124.2928,Derogongan Residence
258,Irbil,IQ,66.88,36.1926,44.0106,Erbil International Hotel
260,Djambala,CG,68.72,-2.5447,14.7533,Hotel Ravin D'or
261,Belgrade,RS,57.33,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
262,Meadow Lake,US,74.48,34.8014,-106.5436,TumbleWeed RV Park
263,Taunggyi,MM,58.28,20.7833,97.0333,True Treasure Hotel
264,Dingle,PH,81.23,10.9995,122.6711,SEGAYA PROPERTY
265,Mynay,UA,53.47,48.5833,22.2833,Duet
266,Shizukuishi,JP,50.77,39.6833,140.9833,Hotel Taikan
267,Bom Jesus,BR,82.62,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
268,Olinda,BR,80.33,-8.0089,-34.8553,Flat Quatro Rodas Olinda
270,Kushiro,JP,54.55,42.975,144.3747,Toyoko Inn Kushiro Jujigai
271,Christchurch,NZ,76.48,-43.5333,172.6333,The George
272,Pacific Grove,US,67.42,36.6177,-121.9166,Lovers Point Inn
273,Puerto Leguizamo,CO,75.49,-0.1934,-74.7819,la casona de juancho
275,Hamilton,US,71.55,39.1834,-84.5333,Six Acres Bed & Breakfast
276,Rio Grande,BR,66.31,-32.035,-52.0986,Hotel Atlântico Rio Grande
278,Tura,IN,71.1,25.5198,90.2201,Hotel RIKMAN Continental
279,Labrea,BR,77.41,-7.2586,-64.7981,Hotel Novo Horizonte
280,Balurghat,IN,68.36,25.2167,88.7667,"Circuit House, Balurghat"
281,Grindavik,IS,39.67,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
282,Coruripe,BR,76.03,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
283,Tampere,FI,43.83,61.4991,23.7871,Holiday Club Tampere Spa
285,Awjilah,LY,65.16,29.1081,21.2869,المنزل
286,Coolum Beach,AU,68.34,-26.5333,153.1,Coolum Beach Resort
287,Avera,US,57.54,33.194,-82.5271,
288,Petropavlovsk-Kamchatskiy,RU,36.19,53.0452,158.6483,The Hotel Petropavlovsky
289,Podor,MR,87.64,16.6527,-14.9587,Auberge Du Tékrour
290,Ambilobe,MG,68.18,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
291,Condega,NI,70.88,13.365,-86.3985,Estancia Doña Rosario
292,Ginda,IN,49.71,30.6945,78.4932,Bhandari hi tech plant nursary.
293,Tithorea,GR,59.76,38.5846,22.6675,Tithorieon Homes
294,Waipawa,NZ,64.67,-41.4122,175.5153,Tora Coastal Walk
295,Marienburg,PL,55.85,54.0359,19.0266,Hotel Centrum Malbork
297,Moyale,KE,72.61,3.5167,39.0584,La Tahzan Guest House
298,Banda Aceh,ID,79.54,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
